Id,SleepDay,TotalSleepMinutes,TotalTimeInBed,SleepHours,TimeInBedHours
1503960366,2016-04-12,327,346,5.45,5.766666666666667
1503960366,2016-04-13,384,407,6.4,6.783333333333333
1503960366,2016-04-15,412,442,6.866666666666666,7.366666666666666
1503960366,2016-04-16,340,367,5.666666666666667,6.116666666666666
1503960366,2016-04-17,700,712,11.666666666666666,11.866666666666667
1503960366,2016-04-19,304,320,5.066666666666666,5.333333333333333
1503960366,2016-04-20,360,377,6.0,6.283333333333333
1503960366,2016-04-21,325,364,5.416666666666667,6.066666666666666
1503960366,2016-04-23,361,384,6.016666666666667,6.4
1503960366,2016-04-24,430,449,7.166666666666667,7.483333333333333
1503960366,2016-04-25,277,323,4.616666666666666,5.383333333333334
1503960366,2016-04-26,245,274,4.083333333333333,4.566666666666666
1503960366,2016-04-28,366,393,6.1,6.55
1503960366,2016-04-29,341,354,5.683333333333334,5.9
1503960366,2016-04-30,404,425,6.733333333333333,7.083333333333333
1503960366,2016-05-01,369,396,6.15,6.6
1503960366,2016-05-02,277,309,4.616666666666666,5.15
1503960366,2016-05-03,273,296,4.55,4.933333333333334
1503960366,2016-05-05,247,264,4.116666666666666,4.4
1503960366,2016-05-06,334,367,5.566666666666666,6.116666666666666
1503960366,2016-05-07,331,349,5.516666666666667,5.816666666666666
1503960366,2016-05-08,594,611,9.9,10.183333333333334
1503960366,2016-05-09,338,342,5.633333333333334,5.7
1503960366,2016-05-10,383,403,6.383333333333334,6.716666666666667
1503960366,2016-05-11,285,306,4.75,5.1
1644430081,2016-04-29,119,127,1.9833333333333334,2.1166666666666667
1644430081,2016-04-30,124,142,2.066666666666667,2.3666666666666667
1644430081,2016-05-02,796,961,13.266666666666667,16.016666666666666
1644430081,2016-05-08,137,154,2.283333333333333,2.566666666666667
1844505072,2016-04-15,644,961,10.733333333333333,16.016666666666666
1844505072,2016-04-30,722,961,12.033333333333333,16.016666666666666
1844505072,2016-05-01,590,961,9.833333333333334,16.016666666666666
1927972279,2016-04-12,750,775,12.5,12.916666666666666
1927972279,2016-04-13,398,422,6.633333333333334,7.033333333333333
1927972279,2016-04-15,475,499,7.916666666666667,8.316666666666666
1927972279,2016-04-26,296,315,4.933333333333334,5.25
1927972279,2016-04-28,166,178,2.7666666666666666,2.966666666666667
2026352035,2016-04-12,503,546,8.383333333333333,9.1
2026352035,2016-04-13,531,565,8.85,9.416666666666666
2026352035,2016-04-14,545,568,9.083333333333334,9.466666666666667
2026352035,2016-04-15,523,573,8.716666666666667,9.55
2026352035,2016-04-16,524,567,8.733333333333333,9.45
2026352035,2016-04-17,437,498,7.283333333333333,8.3
2026352035,2016-04-19,498,540,8.3,9.0
2026352035,2016-04-20,461,510,7.683333333333334,8.5
2026352035,2016-04-21,477,514,7.95,8.566666666666666
2026352035,2016-04-22,520,545,8.666666666666666,9.083333333333334
2026352035,2016-04-23,522,554,8.7,9.233333333333333
2026352035,2016-04-24,555,591,9.25,9.85
2026352035,2016-04-25,506,531,8.433333333333334,8.85
2026352035,2016-04-27,508,545,8.466666666666667,9.083333333333334
2026352035,2016-04-28,513,545,8.55,9.083333333333334
2026352035,2016-04-29,490,510,8.166666666666666,8.5
2026352035,2016-04-30,573,607,9.55,10.116666666666667
2026352035,2016-05-01,527,546,8.783333333333333,9.1
2026352035,2016-05-02,511,543,8.516666666666667,9.05
2026352035,2016-05-04,538,560,8.966666666666667,9.333333333333334
2026352035,2016-05-05,468,485,7.8,8.083333333333334
2026352035,2016-05-06,524,548,8.733333333333333,9.133333333333333
2026352035,2016-05-07,511,521,8.516666666666667,8.683333333333334
2026352035,2016-05-08,541,568,9.016666666666667,9.466666666666667
2026352035,2016-05-09,531,556,8.85,9.266666666666667
2026352035,2016-05-10,357,380,5.95,6.333333333333333
2026352035,2016-05-11,523,553,8.716666666666667,9.216666666666667
2026352035,2016-05-12,456,485,7.6,8.083333333333334
2320127002,2016-04-23,61,69,1.0166666666666666,1.15
2347167796,2016-04-13,467,531,7.783333333333333,8.85
2347167796,2016-04-14,445,489,7.416666666666667,8.15
2347167796,2016-04-15,452,504,7.533333333333333,8.4
2347167796,2016-04-17,556,602,9.266666666666667,10.033333333333333
2347167796,2016-04-18,500,557,8.333333333333334,9.283333333333333
2347167796,2016-04-19,465,514,7.75,8.566666666666666
2347167796,2016-04-21,460,484,7.666666666666667,8.066666666666666
2347167796,2016-04-22,405,461,6.75,7.683333333333334
2347167796,2016-04-23,374,386,6.233333333333333,6.433333333333334
2347167796,2016-04-24,442,459,7.366666666666666,7.65
2347167796,2016-04-25,433,471,7.216666666666667,7.85
2347167796,2016-04-26,436,490,7.266666666666667,8.166666666666666
2347167796,2016-04-27,448,499,7.466666666666667,8.316666666666666
2347167796,2016-04-28,408,450,6.8,7.5
2347167796,2016-04-29,411,473,6.85,7.883333333333334
3977333714,2016-04-12,274,469,4.566666666666666,7.816666666666666
3977333714,2016-04-13,295,456,4.916666666666667,7.6
3977333714,2016-04-14,291,397,4.85,6.616666666666666
3977333714,2016-04-15,424,556,7.066666666666666,9.266666666666667
3977333714,2016-04-16,283,510,4.716666666666667,8.5
3977333714,2016-04-17,381,566,6.35,9.433333333333334
3977333714,2016-04-18,412,522,6.866666666666666,8.7
3977333714,2016-04-19,219,395,3.65,6.583333333333333
3977333714,2016-04-20,152,305,2.533333333333333,5.083333333333333
3977333714,2016-04-21,332,512,5.533333333333333,8.533333333333333
3977333714,2016-04-22,355,476,5.916666666666667,7.933333333333334
3977333714,2016-04-23,235,372,3.9166666666666665,6.2
3977333714,2016-04-24,310,526,5.166666666666667,8.766666666666667
3977333714,2016-04-25,262,467,4.366666666666666,7.783333333333333
3977333714,2016-04-26,250,371,4.166666666666667,6.183333333333334
3977333714,2016-04-27,349,540,5.816666666666666,9.0
3977333714,2016-04-28,261,423,4.35,7.05
3977333714,2016-04-29,333,478,5.55,7.966666666666667
3977333714,2016-04-30,237,382,3.95,6.366666666666666
3977333714,2016-05-01,383,626,6.383333333333334,10.433333333333334
3977333714,2016-05-02,230,384,3.8333333333333335,6.4
3977333714,2016-05-03,292,500,4.866666666666666,8.333333333333334
3977333714,2016-05-04,213,336,3.55,5.6
3977333714,2016-05-05,318,480,5.3,8.0
3977333714,2016-05-06,323,512,5.383333333333334,8.533333333333333
3977333714,2016-05-07,237,443,3.95,7.383333333333334
3977333714,2016-05-08,259,456,4.316666666666666,7.6
3977333714,2016-05-10,312,452,5.2,7.533333333333333
4020332650,2016-04-12,501,541,8.35,9.016666666666667
4020332650,2016-04-16,77,77,1.2833333333333334,1.2833333333333334
4020332650,2016-05-03,322,332,5.366666666666666,5.533333333333333
4020332650,2016-05-04,478,536,7.966666666666667,8.933333333333334
4020332650,2016-05-05,226,248,3.7666666666666666,4.133333333333334
4020332650,2016-05-06,385,408,6.416666666666667,6.8
4020332650,2016-05-08,364,402,6.066666666666666,6.7
4020332650,2016-05-10,442,494,7.366666666666666,8.233333333333333
4319703577,2016-04-14,535,557,8.916666666666666,9.283333333333333
4319703577,2016-04-15,465,491,7.75,8.183333333333334
4319703577,2016-04-16,506,522,8.433333333333334,8.7
4319703577,2016-04-18,515,551,8.583333333333334,9.183333333333334
4319703577,2016-04-19,461,498,7.683333333333334,8.3
4319703577,2016-04-20,523,543,8.716666666666667,9.05
4319703577,2016-04-21,59,65,0.9833333333333333,1.0833333333333333
4319703577,2016-04-22,533,550,8.883333333333333,9.166666666666666
4319703577,2016-04-23,692,722,11.533333333333333,12.033333333333333
4319703577,2016-04-24,467,501,7.783333333333333,8.35
4319703577,2016-04-25,488,506,8.133333333333333,8.433333333333334
4319703577,2016-04-26,505,516,8.416666666666666,8.6
4319703577,2016-04-27,286,307,4.766666666666667,5.116666666666666
4319703577,2016-04-28,497,522,8.283333333333333,8.7
4319703577,2016-04-29,523,546,8.716666666666667,9.1
4319703577,2016-04-30,490,516,8.166666666666666,8.6
4319703577,2016-05-01,484,500,8.066666666666666,8.333333333333334
4319703577,2016-05-02,478,506,7.966666666666667,8.433333333333334
4319703577,2016-05-03,474,512,7.9,8.533333333333333
4319703577,2016-05-06,450,491,7.5,8.183333333333334
4319703577,2016-05-07,507,530,8.45,8.833333333333334
4319703577,2016-05-08,602,638,10.033333333333333,10.633333333333333
4319703577,2016-05-09,535,565,8.916666666666666,9.416666666666666
4319703577,2016-05-10,487,517,8.116666666666667,8.616666666666667
4319703577,2016-05-11,529,558,8.816666666666666,9.3
4319703577,2016-05-12,302,321,5.033333333333333,5.35
4388161847,2016-04-15,499,526,8.316666666666666,8.766666666666667
4388161847,2016-04-16,426,448,7.1,7.466666666666667
